ID,Nombre ,Tipo(s),nomMove
448,lucario,"fighting, steel",mega-punch
448,lucario,"fighting, steel",ice-punch
448,lucario,"fighting, steel",thunder-punch
448,lucario,"fighting, steel",swords-dance
448,lucario,"fighting, steel",mega-kick
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",roar
448,lucario,"fighting, steel",hyper-beam
448,lucario,"fighting, steel",low-kick
448,lucario,"fighting, steel",counter
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",earthquake
448,lucario,"fighting, steel",dig
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",psychic
448,lucario,"fighting, steel",agility
448,lucario,"fighting, steel",quick-attack
448,lucario,"fighting, steel",screech
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",focus-energy
448,lucario,"fighting, steel",metronome
448,lucario,"fighting, steel",swift
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",rock-slide
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",reversal
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",scary-face
448,lucario,"fighting, steel",mud-slap
448,lucario,"fighting, steel",foresight
448,lucario,"fighting, steel",detect
448,lucario,"fighting, steel",bone-rush
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",fury-cutter
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
448,lucario,"fighting, steel",frustration
448,lucario,"fighting, steel",iron-tail
448,lucario,"fighting, steel",metal-claw
448,lucario,"fighting, steel",hidden-power
448,lucario,"fighting, steel",rain-dance
448,lucario,"fighting, steel",sunny-day
448,lucario,"fighting, steel",crunch
448,lucario,"fighting, steel",extreme-speed
448,lucario,"fighting, steel",shadow-ball
448,lucario,"fighting, steel",rock-smash
448,lucario,"fighting, steel",facade
448,lucario,"fighting, steel",focus-punch
448,lucario,"fighting, steel",helping-hand
448,lucario,"fighting, steel",role-play
448,lucario,"fighting, steel",revenge
448,lucario,"fighting, steel",brick-break
448,lucario,"fighting, steel",secret-power
448,lucario,"fighting, steel",blaze-kick
448,lucario,"fighting, steel",meteor-mash
448,lucario,"fighting, steel",rock-tomb
448,lucario,"fighting, steel",metal-sound
448,lucario,"fighting, steel",aerial-ace
448,lucario,"fighting, steel",iron-defense
448,lucario,"fighting, steel",bulk-up
448,lucario,"fighting, steel",calm-mind
448,lucario,"fighting, steel",water-pulse
448,lucario,"fighting, steel",natural-gift
448,lucario,"fighting, steel",feint
448,lucario,"fighting, steel",close-combat
448,lucario,"fighting, steel",payback
448,lucario,"fighting, steel",fling
448,lucario,"fighting, steel",me-first
448,lucario,"fighting, steel",copycat
448,lucario,"fighting, steel",magnet-rise
448,lucario,"fighting, steel",force-palm
448,lucario,"fighting, steel",aura-sphere
448,lucario,"fighting, steel",poison-jab
448,lucario,"fighting, steel",dark-pulse
448,lucario,"fighting, steel",dragon-pulse
448,lucario,"fighting, steel",drain-punch
448,lucario,"fighting, steel",vacuum-wave
448,lucario,"fighting, steel",focus-blast
448,lucario,"fighting, steel",giga-impact
448,lucario,"fighting, steel",nasty-plot
448,lucario,"fighting, steel",shadow-claw
448,lucario,"fighting, steel",zen-headbutt
448,lucario,"fighting, steel",flash-cannon
448,lucario,"fighting, steel",rock-climb
448,lucario,"fighting, steel",stone-edge
448,lucario,"fighting, steel",captivate
448,lucario,"fighting, steel",hone-claws
448,lucario,"fighting, steel",low-sweep
448,lucario,"fighting, steel",round
448,lucario,"fighting, steel",quick-guard
448,lucario,"fighting, steel",heal-pulse
448,lucario,"fighting, steel",retaliate
448,lucario,"fighting, steel",final-gambit
448,lucario,"fighting, steel",bulldoze
448,lucario,"fighting, steel",work-up
448,lucario,"fighting, steel",dual-chop
448,lucario,"fighting, steel",confide
448,lucario,"fighting, steel",power-up-punch
448,lucario,"fighting, steel",laser-focus
448,lucario,"fighting, steel",life-dew
448,lucario,"fighting, steel",steel-beam
448,lucario,"fighting, steel",terrain-pulse
448,lucario,"fighting, steel",coaching
448,lucario,"fighting, steel",tera-blast
448,lucario,"fighting, steel",trailblaze
448,lucario,"fighting, steel",mega-punch
448,lucario,"fighting, steel",pay-day
448,lucario,"fighting, steel",thunder-punch
448,lucario,"fighting, steel",slam
448,lucario,"fighting, steel",double-kick
448,lucario,"fighting, steel",mega-kick
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",double-edge
448,lucario,"fighting, steel",tail-whip
448,lucario,"fighting, steel",growl
448,lucario,"fighting, steel",surf
448,lucario,"fighting, steel",submission
448,lucario,"fighting, steel",counter
448,lucario,"fighting, steel",seismic-toss
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",thunder-shock
448,lucario,"fighting, steel",thunderbolt
448,lucario,"fighting, steel",thunder-wave
448,lucario,"fighting, steel",thunder
448,lucario,"fighting, steel",dig
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",agility
448,lucario,"fighting, steel",quick-attack
448,lucario,"fighting, steel",rage
448,lucario,"fighting, steel",mimic
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",defense-curl
448,lucario,"fighting, steel",light-screen
448,lucario,"fighting, steel",reflect
448,lucario,"fighting, steel",bide
448,lucario,"fighting, steel",swift
448,lucario,"fighting, steel",skull-bash
448,lucario,"fighting, steel",flash
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",thief
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",curse
448,lucario,"fighting, steel",reversal
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",sweet-kiss
448,lucario,"fighting, steel",mud-slap
448,lucario,"fighting, steel",zap-cannon
448,lucario,"fighting, steel",detect
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",charm
448,lucario,"fighting, steel",rollout
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",spark
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
448,lucario,"fighting, steel",frustration
448,lucario,"fighting, steel",dynamic-punch
448,lucario,"fighting, steel",encore
448,lucario,"fighting, steel",iron-tail
448,lucario,"fighting, steel",hidden-power
448,lucario,"fighting, steel",rain-dance
448,lucario,"fighting, steel",rock-smash
448,lucario,"fighting, steel",uproar
448,lucario,"fighting, steel",facade
448,lucario,"fighting, steel",focus-punch
448,lucario,"fighting, steel",charge
448,lucario,"fighting, steel",helping-hand
448,lucario,"fighting, steel",brick-break
448,lucario,"fighting, steel",knock-off
448,lucario,"fighting, steel",secret-power
448,lucario,"fighting, steel",fake-tears
448,lucario,"fighting, steel",signal-beam
448,lucario,"fighting, steel",covet
448,lucario,"fighting, steel",volt-tackle
448,lucario,"fighting, steel",calm-mind
448,lucario,"fighting, steel",shock-wave
448,lucario,"fighting, steel",natural-gift
448,lucario,"fighting, steel",feint
448,lucario,"fighting, steel",fling
448,lucario,"fighting, steel",magnet-rise
448,lucario,"fighting, steel",nasty-plot
448,lucario,"fighting, steel",discharge
448,lucario,"fighting, steel",captivate
448,lucario,"fighting, steel",grass-knot
448,lucario,"fighting, steel",charge-beam
448,lucario,"fighting, steel",electro-ball
448,lucario,"fighting, steel",round
448,lucario,"fighting, steel",echoed-voice
448,lucario,"fighting, steel",volt-switch
448,lucario,"fighting, steel",electroweb
448,lucario,"fighting, steel",wild-charge
448,lucario,"fighting, steel",disarming-voice
448,lucario,"fighting, steel",draining-kiss
448,lucario,"fighting, steel",play-rough
448,lucario,"fighting, steel",play-nice
448,lucario,"fighting, steel",confide
448,lucario,"fighting, steel",eerie-impulse
448,lucario,"fighting, steel",electric-terrain
448,lucario,"fighting, steel",nuzzle
448,lucario,"fighting, steel",laser-focus
448,lucario,"fighting, steel",rising-voltage
448,lucario,"fighting, steel",tera-blast
448,lucario,"fighting, steel",trailblaze
448,lucario,"fighting, steel",mega-punch
448,lucario,"fighting, steel",fire-punch
448,lucario,"fighting, steel",ice-punch
448,lucario,"fighting, steel",thunder-punch
448,lucario,"fighting, steel",mega-kick
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",double-edge
448,lucario,"fighting, steel",disable
448,lucario,"fighting, steel",hyper-beam
448,lucario,"fighting, steel",submission
448,lucario,"fighting, steel",counter
448,lucario,"fighting, steel",seismic-toss
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",mega-drain
448,lucario,"fighting, steel",thunderbolt
448,lucario,"fighting, steel",thunder-wave
448,lucario,"fighting, steel",thunder
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",psychic
448,lucario,"fighting, steel",hypnosis
448,lucario,"fighting, steel",rage
448,lucario,"fighting, steel",night-shade
448,lucario,"fighting, steel",mimic
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",confuse-ray
448,lucario,"fighting, steel",haze
448,lucario,"fighting, steel",bide
448,lucario,"fighting, steel",metronome
448,lucario,"fighting, steel",self-destruct
448,lucario,"fighting, steel",lick
448,lucario,"fighting, steel",smog
448,lucario,"fighting, steel",skull-bash
448,lucario,"fighting, steel",dream-eater
448,lucario,"fighting, steel",poison-gas
448,lucario,"fighting, steel",psywave
448,lucario,"fighting, steel",explosion
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",thief
448,lucario,"fighting, steel",nightmare
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",curse
448,lucario,"fighting, steel",spite
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",scary-face
448,lucario,"fighting, steel",sludge-bomb
448,lucario,"fighting, steel",zap-cannon
448,lucario,"fighting, steel",destiny-bond
448,lucario,"fighting, steel",perish-song
448,lucario,"fighting, steel",icy-wind
448,lucario,"fighting, steel",giga-drain
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",mean-look
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
448,lucario,"fighting, steel",frustration
448,lucario,"fighting, steel",pain-split
448,lucario,"fighting, steel",dynamic-punch
448,lucario,"fighting, steel",encore
448,lucario,"fighting, steel",hidden-power
448,lucario,"fighting, steel",rain-dance
448,lucario,"fighting, steel",sunny-day
448,lucario,"fighting, steel",psych-up
448,lucario,"fighting, steel",shadow-ball
448,lucario,"fighting, steel",rock-smash
448,lucario,"fighting, steel",uproar
448,lucario,"fighting, steel",torment
448,lucario,"fighting, steel",will-o-wisp
448,lucario,"fighting, steel",facade
448,lucario,"fighting, steel",focus-punch
448,lucario,"fighting, steel",taunt
448,lucario,"fighting, steel",trick
448,lucario,"fighting, steel",role-play
448,lucario,"fighting, steel",brick-break
448,lucario,"fighting, steel",knock-off
448,lucario,"fighting, steel",skill-swap
448,lucario,"fighting, steel",imprison
448,lucario,"fighting, steel",snatch
448,lucario,"fighting, steel",secret-power
448,lucario,"fighting, steel",shadow-punch
448,lucario,"fighting, steel",natural-gift
448,lucario,"fighting, steel",payback
448,lucario,"fighting, steel",embargo
448,lucario,"fighting, steel",fling
448,lucario,"fighting, steel",sucker-punch
448,lucario,"fighting, steel",toxic-spikes
448,lucario,"fighting, steel",poison-jab
448,lucario,"fighting, steel",dark-pulse
448,lucario,"fighting, steel",drain-punch
448,lucario,"fighting, steel",focus-blast
448,lucario,"fighting, steel",energy-ball
448,lucario,"fighting, steel",giga-impact
448,lucario,"fighting, steel",nasty-plot
448,lucario,"fighting, steel",shadow-claw
448,lucario,"fighting, steel",trick-room
448,lucario,"fighting, steel",gunk-shot
448,lucario,"fighting, steel",captivate
448,lucario,"fighting, steel",ominous-wind
448,lucario,"fighting, steel",wonder-room
448,lucario,"fighting, steel",venoshock
448,lucario,"fighting, steel",telekinesis
448,lucario,"fighting, steel",sludge-wave
448,lucario,"fighting, steel",acid-spray
448,lucario,"fighting, steel",foul-play
448,lucario,"fighting, steel",round
448,lucario,"fighting, steel",ally-switch
448,lucario,"fighting, steel",hex
448,lucario,"fighting, steel",reflect-type
448,lucario,"fighting, steel",phantom-force
448,lucario,"fighting, steel",confide
448,lucario,"fighting, steel",dazzling-gleam
448,lucario,"fighting, steel",infestation
448,lucario,"fighting, steel",power-up-punch
448,lucario,"fighting, steel",laser-focus
448,lucario,"fighting, steel",skitter-smack
448,lucario,"fighting, steel",poltergeist
448,lucario,"fighting, steel",corrosive-gas
448,lucario,"fighting, steel",tera-blast
448,lucario,"fighting, steel",mega-punch
448,lucario,"fighting, steel",fire-punch
448,lucario,"fighting, steel",thunder-punch
448,lucario,"fighting, steel",scratch
448,lucario,"fighting, steel",swords-dance
448,lucario,"fighting, steel",cut
448,lucario,"fighting, steel",wing-attack
448,lucario,"fighting, steel",fly
448,lucario,"fighting, steel",mega-kick
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",double-edge
448,lucario,"fighting, steel",leer
448,lucario,"fighting, steel",growl
448,lucario,"fighting, steel",roar
448,lucario,"fighting, steel",ember
448,lucario,"fighting, steel",flamethrower
448,lucario,"fighting, steel",hyper-beam
448,lucario,"fighting, steel",submission
448,lucario,"fighting, steel",counter
448,lucario,"fighting, steel",seismic-toss
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",solar-beam
448,lucario,"fighting, steel",dragon-rage
448,lucario,"fighting, steel",fire-spin
448,lucario,"fighting, steel",earthquake
448,lucario,"fighting, steel",fissure
448,lucario,"fighting, steel",dig
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",rage
448,lucario,"fighting, steel",mimic
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",smokescreen
448,lucario,"fighting, steel",defense-curl
448,lucario,"fighting, steel",reflect
448,lucario,"fighting, steel",bide
448,lucario,"fighting, steel",fire-blast
448,lucario,"fighting, steel",swift
448,lucario,"fighting, steel",skull-bash
448,lucario,"fighting, steel",fury-swipes
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",rock-slide
448,lucario,"fighting, steel",slash
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",curse
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",scary-face
448,lucario,"fighting, steel",mud-slap
448,lucario,"fighting, steel",outrage
448,lucario,"fighting, steel",sandstorm
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",false-swipe
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",fury-cutter
448,lucario,"fighting, steel",steel-wing
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
448,lucario,"fighting, steel",frustration
448,lucario,"fighting, steel",dynamic-punch
448,lucario,"fighting, steel",dragon-breath
448,lucario,"fighting, steel",iron-tail
448,lucario,"fighting, steel",metal-claw
448,lucario,"fighting, steel",hidden-power
448,lucario,"fighting, steel",twister
448,lucario,"fighting, steel",sunny-day
448,lucario,"fighting, steel",crunch
448,lucario,"fighting, steel",rock-smash
448,lucario,"fighting, steel",beat-up
448,lucario,"fighting, steel",heat-wave
448,lucario,"fighting, steel",will-o-wisp
448,lucario,"fighting, steel",facade
448,lucario,"fighting, steel",focus-punch
448,lucario,"fighting, steel",helping-hand
448,lucario,"fighting, steel",brick-break
448,lucario,"fighting, steel",secret-power
448,lucario,"fighting, steel",blaze-kick
448,lucario,"fighting, steel",blast-burn
448,lucario,"fighting, steel",weather-ball
448,lucario,"fighting, steel",air-cutter
448,lucario,"fighting, steel",overheat
448,lucario,"fighting, steel",rock-tomb
448,lucario,"fighting, steel",aerial-ace
448,lucario,"fighting, steel",dragon-claw
448,lucario,"fighting, steel",dragon-dance
448,lucario,"fighting, steel",roost
448,lucario,"fighting, steel",natural-gift
448,lucario,"fighting, steel",tailwind
448,lucario,"fighting, steel",fling
448,lucario,"fighting, steel",flare-blitz
448,lucario,"fighting, steel",air-slash
448,lucario,"fighting, steel",dragon-pulse
448,lucario,"fighting, steel",focus-blast
448,lucario,"fighting, steel",giga-impact
448,lucario,"fighting, steel",shadow-claw
448,lucario,"fighting, steel",fire-fang
448,lucario,"fighting, steel",defog
448,lucario,"fighting, steel",captivate
448,lucario,"fighting, steel",ominous-wind
448,lucario,"fighting, steel",hone-claws
448,lucario,"fighting, steel",flame-burst
448,lucario,"fighting, steel",flame-charge
448,lucario,"fighting, steel",round
448,lucario,"fighting, steel",echoed-voice
448,lucario,"fighting, steel",sky-drop
448,lucario,"fighting, steel",incinerate
448,lucario,"fighting, steel",acrobatics
448,lucario,"fighting, steel",inferno
448,lucario,"fighting, steel",fire-pledge
448,lucario,"fighting, steel",bulldoze
448,lucario,"fighting, steel",dragon-tail
448,lucario,"fighting, steel",work-up
448,lucario,"fighting, steel",heat-crash
448,lucario,"fighting, steel",hurricane
448,lucario,"fighting, steel",confide
448,lucario,"fighting, steel",mystical-fire
448,lucario,"fighting, steel",power-up-punch
448,lucario,"fighting, steel",brutal-swing
448,lucario,"fighting, steel",breaking-swipe
448,lucario,"fighting, steel",scale-shot
448,lucario,"fighting, steel",dual-wingbeat
448,lucario,"fighting, steel",scorching-sands
448,lucario,"fighting, steel",tera-blast
448,lucario,"fighting, steel",mega-punch
448,lucario,"fighting, steel",ice-punch
448,lucario,"fighting, steel",mega-kick
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",tackle
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",double-edge
448,lucario,"fighting, steel",tail-whip
448,lucario,"fighting, steel",bite
448,lucario,"fighting, steel",roar
448,lucario,"fighting, steel",water-gun
448,lucario,"fighting, steel",hydro-pump
448,lucario,"fighting, steel",surf
448,lucario,"fighting, steel",ice-beam
448,lucario,"fighting, steel",blizzard
448,lucario,"fighting, steel",bubble-beam
448,lucario,"fighting, steel",hyper-beam
448,lucario,"fighting, steel",submission
448,lucario,"fighting, steel",counter
448,lucario,"fighting, steel",seismic-toss
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",earthquake
448,lucario,"fighting, steel",fissure
448,lucario,"fighting, steel",dig
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",rage
448,lucario,"fighting, steel",mimic
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",withdraw
448,lucario,"fighting, steel",defense-curl
448,lucario,"fighting, steel",reflect
448,lucario,"fighting, steel",bide
448,lucario,"fighting, steel",waterfall
448,lucario,"fighting, steel",skull-bash
448,lucario,"fighting, steel",bubble
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",rock-slide
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",curse
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",mud-slap
448,lucario,"fighting, steel",icy-wind
448,lucario,"fighting, steel",outrage
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",rollout
448,lucario,"fighting, steel",false-swipe
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
448,lucario,"fighting, steel",frustration
448,lucario,"fighting, steel",dynamic-punch
448,lucario,"fighting, steel",rapid-spin
448,lucario,"fighting, steel",iron-tail
448,lucario,"fighting, steel",hidden-power
448,lucario,"fighting, steel",rain-dance
448,lucario,"fighting, steel",crunch
448,lucario,"fighting, steel",rock-smash
448,lucario,"fighting, steel",whirlpool
448,lucario,"fighting, steel",fake-out
448,lucario,"fighting, steel",hail
448,lucario,"fighting, steel",facade
448,lucario,"fighting, steel",focus-punch
448,lucario,"fighting, steel",helping-hand
448,lucario,"fighting, steel",brick-break
448,lucario,"fighting, steel",secret-power
448,lucario,"fighting, steel",dive
448,lucario,"fighting, steel",hydro-cannon
448,lucario,"fighting, steel",weather-ball
448,lucario,"fighting, steel",rock-tomb
448,lucario,"fighting, steel",signal-beam
448,lucario,"fighting, steel",muddy-water
448,lucario,"fighting, steel",iron-defense
448,lucario,"fighting, steel",water-pulse
448,lucario,"fighting, steel",gyro-ball
448,lucario,"fighting, steel",brine
448,lucario,"fighting, steel",natural-gift
448,lucario,"fighting, steel",fling
448,lucario,"fighting, steel",aura-sphere
448,lucario,"fighting, steel",dark-pulse
448,lucario,"fighting, steel",aqua-tail
448,lucario,"fighting, steel",dragon-pulse
448,lucario,"fighting, steel",focus-blast
448,lucario,"fighting, steel",giga-impact
448,lucario,"fighting, steel",avalanche
448,lucario,"fighting, steel",zen-headbutt
448,lucario,"fighting, steel",flash-cannon
448,lucario,"fighting, steel",rock-climb
448,lucario,"fighting, steel",captivate
448,lucario,"fighting, steel",aqua-jet
448,lucario,"fighting, steel",smack-down
448,lucario,"fighting, steel",round
448,lucario,"fighting, steel",scald
448,lucario,"fighting, steel",shell-smash
448,lucario,"fighting, steel",water-pledge
448,lucario,"fighting, steel",bulldoze
448,lucario,"fighting, steel",dragon-tail
448,lucario,"fighting, steel",work-up
448,lucario,"fighting, steel",confide
448,lucario,"fighting, steel",power-up-punch
448,lucario,"fighting, steel",liquidation
448,lucario,"fighting, steel",body-press
448,lucario,"fighting, steel",terrain-pulse
448,lucario,"fighting, steel",flip-turn
448,lucario,"fighting, steel",swords-dance
448,lucario,"fighting, steel",cut
448,lucario,"fighting, steel",bind
448,lucario,"fighting, steel",vine-whip
448,lucario,"fighting, steel",headbutt
448,lucario,"fighting, steel",tackle
448,lucario,"fighting, steel",body-slam
448,lucario,"fighting, steel",take-down
448,lucario,"fighting, steel",double-edge
448,lucario,"fighting, steel",growl
448,lucario,"fighting, steel",roar
448,lucario,"fighting, steel",hyper-beam
448,lucario,"fighting, steel",strength
448,lucario,"fighting, steel",mega-drain
448,lucario,"fighting, steel",leech-seed
448,lucario,"fighting, steel",growth
448,lucario,"fighting, steel",razor-leaf
448,lucario,"fighting, steel",solar-beam
448,lucario,"fighting, steel",poison-powder
448,lucario,"fighting, steel",sleep-powder
448,lucario,"fighting, steel",petal-dance
448,lucario,"fighting, steel",string-shot
448,lucario,"fighting, steel",earthquake
448,lucario,"fighting, steel",toxic
448,lucario,"fighting, steel",rage
448,lucario,"fighting, steel",mimic
448,lucario,"fighting, steel",double-team
448,lucario,"fighting, steel",defense-curl
448,lucario,"fighting, steel",light-screen
448,lucario,"fighting, steel",reflect
448,lucario,"fighting, steel",bide
448,lucario,"fighting, steel",amnesia
448,lucario,"fighting, steel",flash
448,lucario,"fighting, steel",rest
448,lucario,"fighting, steel",substitute
448,lucario,"fighting, steel",snore
448,lucario,"fighting, steel",curse
448,lucario,"fighting, steel",protect
448,lucario,"fighting, steel",sludge-bomb
448,lucario,"fighting, steel",mud-slap
448,lucario,"fighting, steel",outrage
448,lucario,"fighting, steel",giga-drain
448,lucario,"fighting, steel",endure
448,lucario,"fighting, steel",charm
448,lucario,"fighting, steel",false-swipe
448,lucario,"fighting, steel",swagger
448,lucario,"fighting, steel",fury-cutter
448,lucario,"fighting, steel",attract
448,lucario,"fighting, steel",sleep-talk
448,lucario,"fighting, steel",return
