name,accuracy,type,power,pp
mega-punch,85.0,normal,80.0,20
ice-punch,100.0,ice,75.0,15
thunder-punch,100.0,electric,75.0,15
swords-dance,,normal,,20
mega-kick,75.0,normal,120.0,5
headbutt,100.0,normal,70.0,15
body-slam,100.0,normal,85.0,15
take-down,85.0,normal,90.0,20
roar,,normal,,20
hyper-beam,90.0,normal,150.0,5
low-kick,100.0,fighting,,20
counter,100.0,fighting,,20
strength,100.0,normal,80.0,15
earthquake,100.0,ground,100.0,10
dig,100.0,ground,80.0,10
toxic,90.0,poison,,10
psychic,100.0,psychic,90.0,10
agility,,psychic,,30
double-team,,normal,,15
metronome,,normal,,10
swift,,normal,60.0,20
rest,,psychic,,10
rock-slide,90.0,rock,75.0,10
substitute,,normal,,10
snore,100.0,normal,50.0,15
reversal,100.0,fighting,,15
protect,,normal,,10
scary-face,100.0,normal,,10
mud-slap,100.0,ground,20.0,10
detect,,fighting,,5
endure,,normal,,10
swagger,85.0,normal,,15
fury-cutter,95.0,bug,40.0,20
attract,100.0,normal,,15
sleep-talk,,normal,,10
return,100.0,normal,,20
frustration,100.0,normal,,20
iron-tail,75.0,steel,100.0,15
metal-claw,95.0,steel,50.0,35
hidden-power,100.0,normal,60.0,15
rain-dance,,water,,5
sunny-day,,fire,,5
crunch,100.0,dark,80.0,15
shadow-ball,100.0,ghost,80.0,15
rock-smash,100.0,fighting,40.0,15
facade,100.0,normal,70.0,20
focus-punch,100.0,fighting,150.0,20
helping-hand,,normal,,20
role-play,,psychic,,10
brick-break,100.0,fighting,75.0,15
secret-power,100.0,normal,70.0,20
blaze-kick,90.0,fire,85.0,10
rock-tomb,95.0,rock,60.0,15
aerial-ace,,flying,60.0,20
iron-defense,,steel,,15
bulk-up,,fighting,,20
calm-mind,,psychic,,20
water-pulse,100.0,water,60.0,20
natural-gift,100.0,normal,,15
payback,100.0,dark,50.0,10
fling,100.0,dark,,10
me-first,,normal,,20
magnet-rise,,electric,,10
aura-sphere,,fighting,80.0,20
poison-jab,100.0,poison,80.0,20
dark-pulse,100.0,dark,80.0,15
dragon-pulse,100.0,dragon,85.0,10
drain-punch,100.0,fighting,75.0,10
focus-blast,70.0,fighting,120.0,5
giga-impact,90.0,normal,150.0,5
nasty-plot,,dark,,20
shadow-claw,100.0,ghost,70.0,15
zen-headbutt,90.0,psychic,80.0,15
flash-cannon,100.0,steel,80.0,10
rock-climb,85.0,normal,90.0,20
stone-edge,80.0,rock,100.0,5
captivate,100.0,normal,,20
hone-claws,,dark,,15
low-sweep,100.0,fighting,65.0,20
round,100.0,normal,60.0,15
bulldoze,100.0,ground,60.0,20
work-up,,normal,,30
dual-chop,90.0,dragon,40.0,15
confide,,normal,,20
power-up-punch,100.0,fighting,40.0,20
laser-focus,,normal,,30
life-dew,,water,,10
terrain-pulse,100.0,normal,50.0,10
tera-blast,100.0,normal,80.0,10
trailblaze,100.0,grass,50.0,20
pay-day,100.0,normal,40.0,20
double-edge,100.0,normal,120.0,15
growl,100.0,normal,,40
surf,100.0,water,90.0,15
submission,80.0,fighting,80.0,20
seismic-toss,100.0,fighting,,20
thunderbolt,100.0,electric,90.0,15
thunder-wave,90.0,electric,,20
thunder,70.0,electric,110.0,10
rage,100.0,normal,20.0,20
mimic,,normal,,10
defense-curl,,normal,,40
light-screen,,psychic,,30
reflect,,psychic,,20
bide,,normal,,10
skull-bash,100.0,normal,130.0,10
flash,100.0,normal,,20
thief,100.0,dark,60.0,25
curse,,ghost,,10
zap-cannon,50.0,electric,120.0,5
charm,100.0,fairy,,20
rollout,90.0,rock,30.0,20
dynamic-punch,50.0,fighting,100.0,5
encore,100.0,normal,,5
uproar,100.0,normal,90.0,10
knock-off,100.0,dark,65.0,20
signal-beam,100.0,bug,75.0,15
shock-wave,,electric,60.0,20
grass-knot,100.0,grass,,20
charge-beam,90.0,electric,50.0,10
electro-ball,100.0,electric,,10
echoed-voice,100.0,normal,40.0,15
fire-punch,100.0,fire,75.0,15
mega-drain,100.0,grass,40.0,15
night-shade,100.0,ghost,,15
confuse-ray,100.0,ghost,,10
haze,,ice,,30
self-destruct,100.0,normal,200.0,5
dream-eater,100.0,psychic,100.0,15
psywave,100.0,psychic,,15
nightmare,100.0,ghost,,15
spite,100.0,ghost,,10
sludge-bomb,100.0,poison,90.0,10
icy-wind,95.0,ice,55.0,15
giga-drain,100.0,grass,75.0,10
psych-up,,normal,,10
torment,100.0,dark,,15
will-o-wisp,85.0,fire,,15
taunt,100.0,dark,,20
trick,100.0,psychic,,10
skill-swap,,psychic,,10
imprison,,psychic,,10
snatch,,dark,,10
embargo,100.0,dark,,15
energy-ball,100.0,grass,90.0,10
trick-room,,psychic,,5
ominous-wind,100.0,ghost,60.0,5
wonder-room,,psychic,,10
venoshock,100.0,poison,65.0,10
telekinesis,,psychic,,15
foul-play,100.0,dark,95.0,15
ally-switch,,psychic,,15
hex,100.0,ghost,65.0,10
cut,95.0,normal,50.0,30
fly,95.0,flying,90.0,15
flamethrower,100.0,fire,90.0,15
solar-beam,100.0,grass,120.0,10
dragon-rage,100.0,dragon,,10
fire-spin,85.0,fire,35.0,15
fissure,30.0,ground,,5
fire-blast,85.0,fire,110.0,5
outrage,100.0,dragon,120.0,10
sandstorm,,rock,,10
false-swipe,100.0,normal,40.0,40
steel-wing,90.0,steel,70.0,25
dragon-breath,100.0,dragon,60.0,20
twister,100.0,dragon,40.0,20
heat-wave,90.0,fire,95.0,10
weather-ball,100.0,normal,50.0,10
air-cutter,95.0,flying,60.0,25
dragon-claw,100.0,dragon,80.0,15
dragon-dance,,dragon,,20
roost,,flying,,10
tailwind,,flying,,15
air-slash,95.0,flying,75.0,15
fire-fang,95.0,fire,65.0,15
defog,,flying,,15
sky-drop,100.0,flying,60.0,10
incinerate,100.0,fire,60.0,15
dragon-tail,90.0,dragon,60.0,10
hurricane,70.0,flying,110.0,10
brutal-swing,100.0,dark,60.0,20
breaking-swipe,100.0,dragon,60.0,15
scale-shot,90.0,dragon,25.0,20
dual-wingbeat,90.0,flying,40.0,10
scorching-sands,100.0,ground,70.0,10
tackle,100.0,normal,40.0,35
water-gun,100.0,water,40.0,25
hydro-pump,80.0,water,110.0,5
ice-beam,100.0,ice,90.0,10
blizzard,70.0,ice,110.0,5
bubble-beam,100.0,water,65.0,20
waterfall,100.0,water,80.0,15
whirlpool,85.0,water,35.0,15
hail,,ice,,10
dive,100.0,water,80.0,10
aqua-tail,90.0,water,90.0,10
