funcion,n,tiempo
sumar_lista,10,0.00000
sumar_tupla,10,0.00100
sumar_objeto,10,0.00000
sumar_usando_yield,10,0.00000
sumar_conjunto,10,0.00000
sumar_valores_diccionario,10,0.00000
sumar_numpy_array,10,0.00300
sumar_pandas_series,10,0.00100
sumar_lista,10,0.00000
sumar_tupla,10,0.00000
sumar_objeto,10,0.00000
sumar_usando_yield,10,0.00000
sumar_conjunto,10,0.00000
sumar_valores_diccionario,10,0.00000
sumar_numpy_array,10,0.00000
sumar_pandas_series,10,0.00000
sumar_lista,10,0.00000
sumar_tupla,10,0.00000
sumar_objeto,10,0.00000
sumar_usando_yield,10,0.00000
sumar_conjunto,10,0.00000
sumar_valores_diccionario,10,0.00000
sumar_numpy_array,10,0.00301
sumar_pandas_series,10,0.00405
sumar_lista,1000,0.00097
sumar_tupla,1000,0.00100
sumar_objeto,1000,0.00099
sumar_usando_yield,1000,0.00000
sumar_conjunto,1000,0.00000
sumar_valores_diccionario,1000,0.00000
sumar_numpy_array,1000,0.00000
sumar_pandas_series,1000,0.00000
sumar_lista,10000,0.00100
sumar_tupla,10000,0.00101
sumar_objeto,10000,0.00300
sumar_usando_yield,10000,0.00099
sumar_conjunto,10000,0.00000
sumar_valores_diccionario,10000,0.00099
sumar_numpy_array,10000,0.00000
sumar_pandas_series,10000,0.00102
sumar_lista,100000,0.00600
sumar_tupla,100000,0.00901
sumar_objeto,100000,0.08813
sumar_usando_yield,100000,0.00450
sumar_conjunto,100000,0.00902
sumar_valores_diccionario,100000,0.00802
sumar_numpy_array,100000,0.00000
sumar_pandas_series,100000,0.00101
sumar_lista,1000000,0.07560
sumar_tupla,1000000,0.09442
sumar_objeto,1000000,0.87686
sumar_usando_yield,1000000,0.06301
sumar_conjunto,1000000,0.07074
sumar_valores_diccionario,1000000,0.09284
sumar_numpy_array,1000000,0.00200
sumar_pandas_series,1000000,0.00300
sumar_lista,5000000,0.38511
sumar_tupla,5000000,0.47958
sumar_objeto,5000000,3.97315
sumar_usando_yield,5000000,0.33138
sumar_conjunto,5000000,0.33636
sumar_valores_diccionario,5000000,0.50039
sumar_numpy_array,5000000,0.01900
sumar_pandas_series,5000000,0.02053
sumar_lista,10,0.00000
sumar_tupla,10,0.00000
sumar_objeto,10,0.00100
sumar_usando_yield,10,0.00000
sumar_conjunto,10,0.00000
sumar_valores_diccionario,10,0.00000
sumar_numpy_array,10,0.00000
sumar_pandas_series,10,0.00100
sumar_lista,1000,0.00100
sumar_tupla,1000,0.00000
sumar_objeto,1000,0.00101
sumar_usando_yield,1000,0.00000
sumar_conjunto,1000,0.00000
