name,accuracy,type,power,pp,ocurrences
double-team,,normal,,15,10
toxic,90.0,poison,,10,10
sleep-talk,,normal,,10,10
swagger,85.0,normal,,15,10
endure,,normal,,10,10
hidden-power,100.0,normal,60.0,15,10
rock-smash,100.0,fighting,40.0,15,10
protect,,normal,,10,10
facade,100.0,normal,70.0,20,10
snore,100.0,normal,50.0,15,10
substitute,,normal,,10,10
rest,,psychic,,10,10
secret-power,100.0,normal,70.0,20,10
frustration,100.0,normal,,20,10
natural-gift,100.0,normal,,15,10
return,100.0,normal,,20,10
round,100.0,normal,60.0,15,10
body-slam,100.0,normal,85.0,15,10
strength,100.0,normal,80.0,15,10
take-down,85.0,normal,90.0,20,10
confide,,normal,,20,10
headbutt,100.0,normal,70.0,15,10
captivate,100.0,normal,,20,9
hyper-beam,90.0,normal,150.0,5,9
mud-slap,100.0,ground,20.0,10,9
giga-impact,90.0,normal,150.0,5,9
attract,100.0,normal,,15,9
helping-hand,,normal,,20,9
brick-break,100.0,fighting,75.0,15,9
fling,100.0,dark,,10,9
iron-tail,75.0,steel,100.0,15,8
rage,100.0,normal,20.0,20,8
bide,,normal,,10,8
double-edge,100.0,normal,120.0,15,8
curse,,ghost,,10,8
rain-dance,,water,,5,8
sunny-day,,fire,,5,8
tera-blast,100.0,normal,80.0,10,8
focus-punch,100.0,fighting,150.0,20,8
bulldoze,100.0,ground,60.0,20,8
mega-punch,85.0,normal,80.0,20,8
mimic,,normal,,10,8
earthquake,100.0,ground,100.0,10,8
mega-kick,75.0,normal,120.0,5,8
swift,,normal,60.0,20,7
thunder-punch,100.0,electric,75.0,15,7
focus-blast,70.0,fighting,120.0,5,7
reflect,,psychic,,20,7
skull-bash,100.0,normal,130.0,10,7
scary-face,100.0,normal,,10,7
roar,,normal,,20,7
rock-slide,90.0,rock,75.0,10,7
rock-tomb,95.0,rock,60.0,15,7
dynamic-punch,50.0,fighting,100.0,5,7
power-up-punch,100.0,fighting,40.0,20,7
counter,100.0,fighting,,20,7
rock-climb,85.0,normal,90.0,20,6
dig,100.0,ground,80.0,10,6
fury-cutter,95.0,bug,40.0,20,6
laser-focus,,normal,,30,6
ice-punch,100.0,ice,75.0,15,6
submission,80.0,fighting,80.0,20,6
seismic-toss,100.0,fighting,,20,6
dragon-pulse,100.0,dragon,85.0,10,6
aerial-ace,,flying,60.0,20,6
outrage,100.0,dragon,120.0,10,6
weather-ball,100.0,normal,50.0,10,6
stomping-tantrum,100.0,ground,75.0,10,5
zap-cannon,50.0,electric,120.0,5,5
brutal-swing,100.0,dark,60.0,20,5
hone-claws,,dark,,15,5
false-swipe,100.0,normal,40.0,40,5
fire-punch,100.0,fire,75.0,15,5
water-pulse,100.0,water,60.0,20,5
work-up,,normal,,30,5
metronome,,normal,,10,5
knock-off,100.0,dark,65.0,20,5
incinerate,100.0,fire,60.0,15,5
sandstorm,,rock,,10,5
swords-dance,,normal,,20,5
crunch,100.0,dark,80.0,15,5
surf,100.0,water,90.0,15,5
detect,,fighting,,5,5
light-screen,,psychic,,30,5
thunderbolt,100.0,electric,90.0,15,5
thunder-wave,90.0,electric,,20,5
thunder,70.0,electric,110.0,10,5
stone-edge,80.0,rock,100.0,5,5
agility,,psychic,,30,5
icy-wind,95.0,ice,55.0,15,5
aqua-tail,90.0,water,90.0,10,5
shadow-claw,100.0,ghost,70.0,15,5
nasty-plot,,dark,,20,5
dragon-tail,90.0,dragon,60.0,10,5
defense-curl,,normal,,40,5
fire-blast,85.0,fire,110.0,5,5
dark-pulse,100.0,dark,80.0,15,5
poison-jab,100.0,poison,80.0,20,5
flamethrower,100.0,fire,90.0,15,5
cut,95.0,normal,50.0,30,5
flash,100.0,normal,,20,4
hail,,ice,,10,4
dragon-claw,100.0,dragon,80.0,15,4
hurricane,70.0,flying,110.0,10,4
ice-beam,100.0,ice,90.0,10,4
solar-beam,100.0,grass,120.0,10,4
dragon-rage,100.0,dragon,,10,4
blizzard,70.0,ice,110.0,5,4
ominous-wind,100.0,ghost,60.0,5,4
whirlpool,85.0,water,35.0,15,4
breaking-swipe,100.0,dragon,60.0,15,4
will-o-wisp,85.0,fire,,15,4
encore,100.0,normal,,5,4
signal-beam,100.0,bug,75.0,15,4
twister,100.0,dragon,40.0,20,4
energy-ball,100.0,grass,90.0,10,4
water-gun,100.0,water,40.0,25,4
shock-wave,,electric,60.0,20,4
safeguard,,normal,,25,4
dragon-breath,100.0,dragon,60.0,20,4
grass-knot,100.0,grass,,20,4
echoed-voice,100.0,normal,40.0,15,4
bubble-beam,100.0,water,65.0,20,4
earth-power,100.0,ground,90.0,10,4
dive,100.0,water,80.0,10,4
scale-shot,90.0,dragon,25.0,20,4
drain-punch,100.0,fighting,75.0,10,4
trailblaze,100.0,grass,50.0,20,4
metal-claw,95.0,steel,50.0,35,4
terrain-pulse,100.0,normal,50.0,10,4
calm-mind,,psychic,,20,4
aura-sphere,,fighting,80.0,20,4
zen-headbutt,90.0,psychic,80.0,15,4
reversal,100.0,fighting,,15,4
shadow-ball,100.0,ghost,80.0,15,4
role-play,,psychic,,10,4
psychic,100.0,psychic,90.0,10,4
low-kick,100.0,fighting,,20,4
growl,100.0,normal,,40,3
taunt,100.0,dark,,20,3
imprison,,psychic,,10,3
skill-swap,,psychic,,10,3
trick,100.0,psychic,,10,3
snatch,,dark,,10,3
embargo,100.0,dark,,15,3
torment,100.0,dark,,15,3
psych-up,,normal,,10,3
amnesia,,psychic,,20,3
giga-drain,100.0,grass,75.0,10,3
flash-cannon,100.0,steel,80.0,10,3
blaze-kick,90.0,fire,85.0,10,3
sludge-bomb,100.0,poison,90.0,10,3
spite,100.0,ghost,,10,3
steel-wing,90.0,steel,70.0,25,3
bind,85.0,normal,15.0,20,3
iron-defense,,steel,,15,3
trick-room,,psychic,,5,3
fly,95.0,flying,90.0,15,3
payback,100.0,dark,50.0,10,3
