Nombre,Precisión,Tipo,Poder,PP
foresight,,normal,,40
bone-rush,90,ground,25,10
meteor-mash,90,steel,90,10
metal-sound,85,steel,,40
copycat,,normal,,20
force-palm,100,fighting,60,10
quick-guard,,fighting,,15
heal-pulse,,psychic,,10
final-gambit,100,fighting,,5
double-kick,100,fighting,30,30
thunder-shock,100,electric,40,30
sweet-kiss,75,fairy,,10
spark,100,electric,65,20
volt-tackle,100,electric,120,15
discharge,100,electric,80,15
play-nice,,normal,,20
nuzzle,100,electric,20,20
lick,100,ghost,30,30
smog,70,poison,30,20
poison-gas,90,poison,,40
destiny-bond,,ghost,,5
perish-song,,normal,,5
mean-look,,normal,,5
shadow-punch,,ghost,60,20
scratch,100,normal,40,35
ember,100,fire,40,25
smokescreen,100,normal,,20
fury-swipes,80,normal,18,15
flame-burst,100,fire,70,15
inferno,50,fire,100,5
withdraw,,water,,40
bubble,100,water,40,30
rapid-spin,100,normal,50,40
shell-smash,,normal,,15
vine-whip,100,grass,45,25
leech-seed,90,grass,,10
growth,,normal,,20
razor-leaf,95,grass,55,25
poison-powder,75,poison,,35
sleep-powder,75,grass,,15
petal-dance,100,grass,120,10
petal-blizzard,100,grass,90,15
wrap,90,normal,15,20
pound,100,normal,40,35
whirlwind,,normal,,20
pin-missile,95,bug,25,20
egg-bomb,75,normal,100,10
soft-boiled,,normal,,10
leech-life,100,bug,80,10
sky-attack,90,flying,140,5
transform,,normal,,10
super-fang,90,normal,,10
feint-attack,,dark,60,20
heal-bell,,normal,,5
megahorn,85,bug,120,10
baton-pass,,normal,,40
endeavor,100,normal,,5
hyper-voice,100,normal,90,10
silver-wind,100,bug,60,5
cosmic-power,,psychic,,20
icicle-spear,100,ice,25,30
bounce,85,flying,85,5
poison-tail,100,poison,50,25
leaf-blade,100,grass,90,15
rock-blast,90,rock,25,10
pluck,100,flying,60,20
u-turn,100,bug,70,20
assurance,100,dark,60,10
gastro-acid,100,poison,,10
last-resort,100,normal,140,5
rock-polish,,rock,,20
x-scissor,100,bug,80,15
bug-buzz,100,bug,90,10
brave-bird,100,flying,120,15
ice-fang,95,ice,65,15
cross-poison,100,poison,70,20
bug-bite,100,bug,60,20
heavy-slam,100,steel,,10
after-you,,normal,,15
quash,100,dark,,15
struggle-bug,100,bug,50,20
frost-breath,90,ice,60,10
drill-run,95,ground,80,10
razor-shell,95,water,75,10
tail-slap,85,normal,25,10
snarl,95,dark,55,15
misty-terrain,,fairy,,10
venom-drench,100,poison,,20
darkest-lariat,100,dark,85,10
high-horsepower,95,ground,95,10
solar-blade,100,grass,125,10
throat-chop,100,dark,80,15
pollen-puff,100,bug,90,15
lunge,100,bug,80,15
smart-strike,,steel,70,10
aurora-veil,,ice,,20
psychic-fangs,100,psychic,85,10
steel-roller,100,steel,130,5
meteor-beam,90,rock,120,10
misty-explosion,100,fairy,100,5
burning-jealousy,100,fire,70,5
triple-axel,90,ice,20,10
pounce,100,bug,50,20
recover,,normal,,10
miracle-eye,,psychic,,40
psystrike,100,psychic,100,10
sand-attack,100,ground,,15
