funcion,n,tiempo
sumar_lista,10,5.0067901611328125e-06
sumar_tupla,10,5.245208740234375e-06
sumar_objeto,10,2.5987625122070312e-05
sumar_usando_yield,10,4.0531158447265625e-06
sumar_conjunto,10,3.0994415283203125e-06
sumar_valores_diccionario,10,7.867813110351562e-06
sumar_numpy_array,10,0.0001380443572998047
sumar_pandas_series,10,0.0003790855407714844
sumar_lista,10,3.0994415283203125e-06
sumar_tupla,10,4.0531158447265625e-06
sumar_objeto,10,2.2172927856445312e-05
sumar_usando_yield,10,3.0994415283203125e-06
sumar_conjunto,10,3.0994415283203125e-06
sumar_valores_diccionario,10,3.814697265625e-06
sumar_numpy_array,10,1.811981201171875e-05
sumar_pandas_series,10,0.00012683868408203125
sumar_lista,10,3.0994415283203125e-06
sumar_tupla,10,3.0994415283203125e-06
sumar_objeto,10,1.6927719116210938e-05
sumar_usando_yield,10,2.86102294921875e-06
sumar_conjunto,10,3.0994415283203125e-06
sumar_valores_diccionario,10,4.0531158447265625e-06
sumar_numpy_array,10,1.621246337890625e-05
sumar_pandas_series,10,0.00011181831359863281
sumar_lista,10,2.86102294921875e-06
sumar_tupla,10,3.814697265625e-06
sumar_objeto,10,1.71661376953125e-05
sumar_usando_yield,10,3.0994415283203125e-06
sumar_conjunto,10,1.6689300537109375e-06
sumar_valores_diccionario,10,3.0994415283203125e-06
sumar_numpy_array,10,1.5020370483398438e-05
sumar_pandas_series,10,0.00010085105895996094
sumar_lista,10,2.86102294921875e-06
sumar_tupla,10,3.0994415283203125e-06
sumar_objeto,10,1.5735626220703125e-05
sumar_usando_yield,10,3.0994415283203125e-06
sumar_conjunto,10,1.9073486328125e-06
sumar_valores_diccionario,10,3.0994415283203125e-06
sumar_numpy_array,10,1.4066696166992188e-05
sumar_pandas_series,10,9.799003601074219e-05
sumar_lista,1000,6.985664367675781e-05
sumar_tupla,1000,8.130073547363281e-05
sumar_objeto,1000,0.0004830360412597656
sumar_usando_yield,1000,6.794929504394531e-05
sumar_conjunto,1000,5.412101745605469e-05
sumar_valores_diccionario,1000,7.915496826171875e-05
sumar_numpy_array,1000,1.71661376953125e-05
sumar_pandas_series,1000,0.00011372566223144531
sumar_lista,1000,5.793571472167969e-05
sumar_tupla,1000,7.987022399902344e-05
sumar_objeto,1000,0.0003459453582763672
sumar_usando_yield,1000,6.818771362304688e-05
sumar_conjunto,1000,4.100799560546875e-05
sumar_valores_diccionario,1000,7.700920104980469e-05
sumar_numpy_array,1000,1.811981201171875e-05
sumar_pandas_series,1000,9.989738464355469e-05
sumar_lista,1000,5.602836608886719e-05
sumar_tupla,1000,8.20159912109375e-05
sumar_objeto,1000,0.00034499168395996094
sumar_usando_yield,1000,6.818771362304688e-05
sumar_conjunto,1000,4.291534423828125e-05
sumar_valores_diccionario,1000,8.20159912109375e-05
sumar_numpy_array,1000,2.193450927734375e-05
sumar_pandas_series,1000,0.00016999244689941406
sumar_lista,1000,5.4836273193359375e-05
sumar_tupla,1000,7.915496826171875e-05
sumar_objeto,1000,0.0003421306610107422
sumar_usando_yield,1000,6.818771362304688e-05
sumar_conjunto,1000,4.00543212890625e-05
sumar_valores_diccionario,1000,7.486343383789062e-05
sumar_numpy_array,1000,1.621246337890625e-05
sumar_pandas_series,1000,9.799003601074219e-05
sumar_lista,1000,5.3882598876953125e-05
sumar_tupla,1000,7.915496826171875e-05
sumar_objeto,1000,0.00033783912658691406
sumar_usando_yield,1000,6.699562072753906e-05
sumar_conjunto,1000,4.100799560546875e-05
sumar_valores_diccionario,1000,7.700920104980469e-05
sumar_numpy_array,1000,1.5020370483398438e-05
sumar_pandas_series,1000,9.608268737792969e-05
sumar_lista,10000,0.00061798095703125
sumar_tupla,10000,0.0007848739624023438
sumar_objeto,10000,0.0039103031158447266
sumar_usando_yield,10000,0.0006887912750244141
sumar_conjunto,10000,0.0005052089691162109
sumar_valores_diccionario,10000,0.0007910728454589844
sumar_numpy_array,10000,2.288818359375e-05
sumar_pandas_series,10000,0.00010704994201660156
sumar_lista,10000,0.0005211830139160156
sumar_tupla,10000,0.0007700920104980469
sumar_objeto,10000,0.0034329891204833984
sumar_usando_yield,10000,0.0007028579711914062
sumar_conjunto,10000,0.00045990943908691406
sumar_valores_diccionario,10000,0.0007510185241699219
sumar_numpy_array,10000,3.3855438232421875e-05
sumar_pandas_series,10000,0.00013494491577148438
sumar_lista,10000,0.0005137920379638672
sumar_tupla,10000,0.0007610321044921875
sumar_objeto,10000,0.003673076629638672
sumar_usando_yield,10000,0.0006818771362304688
sumar_conjunto,10000,0.0004360675811767578
sumar_valores_diccionario,10000,0.0007348060607910156
sumar_numpy_array,10000,2.002716064453125e-05
sumar_pandas_series,10000,9.918212890625e-05
sumar_lista,10000,0.0005128383636474609
sumar_tupla,10000,0.0007710456848144531
sumar_objeto,10000,0.0037271976470947266
sumar_usando_yield,10000,0.0006809234619140625
sumar_conjunto,10000,0.00045013427734375
sumar_valores_diccionario,10000,0.0007612705230712891
sumar_numpy_array,10000,3.1948089599609375e-05
sumar_pandas_series,10000,0.0001232624053955078
sumar_lista,10000,0.0005223751068115234
sumar_tupla,10000,0.0007748603820800781
sumar_objeto,10000,0.0036618709564208984
sumar_usando_yield,10000,0.0006847381591796875
sumar_conjunto,10000,0.0004379749298095703
sumar_valores_diccionario,10000,0.000743865966796875
sumar_numpy_array,10000,1.9788742065429688e-05
sumar_pandas_series,10000,9.584426879882812e-05
sumar_lista,100000,0.006256818771362305
sumar_tupla,100000,0.008867025375366211
sumar_objeto,100000,0.07283711433410645
sumar_usando_yield,100000,0.006841897964477539
sumar_conjunto,100000,0.007378816604614258
sumar_valores_diccionario,100000,0.01038503646850586
sumar_numpy_array,100000,0.00038886070251464844
sumar_pandas_series,100000,0.0002841949462890625
sumar_lista,100000,0.00606989860534668
sumar_tupla,100000,0.008954763412475586
sumar_objeto,100000,0.0751657485961914
sumar_usando_yield,100000,0.0076520442962646484
sumar_conjunto,100000,0.005753993988037109
sumar_valores_diccionario,100000,0.012167930603027344
sumar_numpy_array,100000,0.0001289844512939453
sumar_pandas_series,100000,0.0003039836883544922
sumar_lista,100000,0.006383180618286133
sumar_tupla,100000,0.00934290885925293
sumar_objeto,100000,0.12851500511169434
sumar_usando_yield,100000,0.00787806510925293
sumar_conjunto,100000,0.007355928421020508
sumar_valores_diccionario,100000,0.012721776962280273
sumar_numpy_array,100000,0.00013685226440429688
sumar_pandas_series,100000,0.0003139972686767578
sumar_lista,100000,0.006484031677246094
sumar_tupla,100000,0.009243011474609375
sumar_objeto,100000,0.09001898765563965
sumar_usando_yield,100000,0.007864952087402344
sumar_conjunto,100000,0.005600929260253906
sumar_valores_diccionario,100000,0.013873815536499023
sumar_numpy_array,100000,0.00017881393432617188
sumar_pandas_series,100000,0.0003490447998046875
sumar_lista,100000,0.006394147872924805
sumar_tupla,100000,0.009030342102050781
sumar_objeto,100000,0.0972909927368164
sumar_usando_yield,100000,0.01128697395324707
sumar_conjunto,100000,0.007815837860107422
sumar_valores_diccionario,100000,0.014862060546875
sumar_numpy_array,100000,0.0002040863037109375
sumar_pandas_series,100000,0.00043201446533203125
sumar_lista,1000000,0.10212993621826172
sumar_tupla,1000000,0.11774897575378418
sumar_objeto,1000000,0.866879940032959
sumar_usando_yield,1000000,0.06904888153076172
sumar_conjunto,1000000,0.07822084426879883
sumar_valores_diccionario,1000000,0.11194705963134766
sumar_numpy_array,1000000,0.0034351348876953125
sumar_pandas_series,1000000,0.0008440017700195312
sumar_lista,1000000,0.06536412239074707
sumar_tupla,1000000,0.09225010871887207
sumar_objeto,1000000,0.956963062286377
sumar_usando_yield,1000000,0.06966376304626465
sumar_conjunto,1000000,0.07507514953613281
sumar_valores_diccionario,1000000,0.09802508354187012
sumar_numpy_array,1000000,0.0021500587463378906
sumar_pandas_series,1000000,0.0009818077087402344
sumar_lista,1000000,0.0656440258026123
sumar_tupla,1000000,0.09126019477844238
sumar_objeto,1000000,0.7709567546844482
sumar_usando_yield,1000000,0.06920194625854492
sumar_conjunto,1000000,0.06415796279907227
sumar_valores_diccionario,1000000,0.09250998497009277
sumar_numpy_array,1000000,0.0016820430755615234
sumar_pandas_series,1000000,0.0007710456848144531
sumar_lista,1000000,0.06340575218200684
sumar_tupla,1000000,0.09109997749328613
sumar_objeto,1000000,0.9342541694641113
sumar_usando_yield,1000000,0.06847214698791504
sumar_conjunto,1000000,0.06470298767089844
sumar_valores_diccionario,1000000,0.09179210662841797
sumar_numpy_array,1000000,0.0031480789184570312
sumar_pandas_series,1000000,0.0007832050323486328
sumar_lista,1000000,0.06444692611694336
sumar_tupla,1000000,0.08922815322875977
sumar_objeto,1000000,0.7902319431304932
sumar_usando_yield,1000000,0.07148003578186035
sumar_conjunto,1000000,0.0890800952911377
sumar_valores_diccionario,1000000,0.11637187004089355
sumar_numpy_array,1000000,0.0009310245513916016
sumar_pandas_series,1000000,0.001210927963256836
sumar_lista,5000000,0.3585622310638428
sumar_tupla,5000000,0.4841349124908447
sumar_objeto,5000000,4.900943994522095
sumar_usando_yield,5000000,0.3459281921386719
sumar_conjunto,5000000,0.37090587615966797
sumar_valores_diccionario,5000000,0.634207010269165
sumar_numpy_array,5000000,0.018374919891357422
sumar_pandas_series,5000000,0.004706859588623047
sumar_lista,5000000,0.3637428283691406
sumar_tupla,5000000,0.4961678981781006
sumar_objeto,5000000,4.3083720207214355
sumar_usando_yield,5000000,0.34276294708251953
sumar_conjunto,5000000,0.39478111267089844
sumar_valores_diccionario,5000000,0.6147499084472656
sumar_numpy_array,5000000,0.003187894821166992
sumar_pandas_series,5000000,0.0035791397094726562
sumar_lista,5000000,0.34728169441223145
sumar_tupla,5000000,0.4687197208404541
sumar_objeto,5000000,4.594675779342651
sumar_usando_yield,5000000,0.3502190113067627
sumar_conjunto,5000000,0.37413716316223145
sumar_valores_diccionario,5000000,0.6636199951171875
sumar_numpy_array,5000000,0.0033102035522460938
sumar_pandas_series,5000000,0.004614114761352539
sumar_lista,5000000,0.3425562381744385
sumar_tupla,5000000,0.4778280258178711
sumar_objeto,5000000,4.316245079040527
sumar_usando_yield,5000000,0.350449800491333
sumar_conjunto,5000000,0.3895108699798584
sumar_valores_diccionario,5000000,0.5886027812957764
sumar_numpy_array,5000000,0.0029299259185791016
sumar_pandas_series,5000000,0.0036728382110595703
sumar_lista,5000000,0.3338930606842041
sumar_tupla,5000000,0.4657249450683594
sumar_objeto,5000000,4.102392911911011
sumar_usando_yield,5000000,0.34757494926452637
sumar_conjunto,5000000,0.37619900703430176
sumar_valores_diccionario,5000000,0.601179838180542
sumar_numpy_array,5000000,0.005829811096191406
sumar_pandas_series,5000000,0.004677772521972656
