name,accuracy,type,power,pp
mega-punch,85.0,normal,80.0,20
fire-punch,100.0,fire,75.0,15
ice-punch,100.0,ice,75.0,15
thunder-punch,100.0,electric,75.0,15
mega-kick,75.0,normal,120.0,5
headbutt,100.0,normal,70.0,15
body-slam,100.0,normal,85.0,15
take-down,85.0,normal,90.0,20
double-edge,100.0,normal,120.0,15
hyper-beam,90.0,normal,150.0,5
submission,80.0,fighting,80.0,20
counter,100.0,fighting,,20
seismic-toss,100.0,fighting,,20
strength,100.0,normal,80.0,15
mega-drain,100.0,grass,40.0,15
thunderbolt,100.0,electric,90.0,15
thunder-wave,90.0,electric,,20
thunder,70.0,electric,110.0,10
toxic,90.0,poison,,10
psychic,100.0,psychic,90.0,10
rage,100.0,normal,20.0,20
night-shade,100.0,ghost,,15
mimic,,normal,,10
double-team,,normal,,15
confuse-ray,100.0,ghost,,10
haze,,ice,,30
bide,,normal,,10
metronome,,normal,,10
self-destruct,100.0,normal,200.0,5
skull-bash,100.0,normal,130.0,10
dream-eater,100.0,psychic,100.0,15
psywave,100.0,psychic,,15
rest,,psychic,,10
substitute,,normal,,10
thief,100.0,dark,60.0,25
nightmare,100.0,ghost,,15
snore,100.0,normal,50.0,15
curse,,ghost,,10
spite,100.0,ghost,,10
protect,,normal,,10
scary-face,100.0,normal,,10
sludge-bomb,100.0,poison,90.0,10
zap-cannon,50.0,electric,120.0,5
icy-wind,95.0,ice,55.0,15
giga-drain,100.0,grass,75.0,10
endure,,normal,,10
swagger,85.0,normal,,15
attract,100.0,normal,,15
sleep-talk,,normal,,10
return,100.0,normal,,20
frustration,100.0,normal,,20
dynamic-punch,50.0,fighting,100.0,5
encore,100.0,normal,,5
hidden-power,100.0,normal,60.0,15
rain-dance,,water,,5
sunny-day,,fire,,5
psych-up,,normal,,10
shadow-ball,100.0,ghost,80.0,15
rock-smash,100.0,fighting,40.0,15
uproar,100.0,normal,90.0,10
torment,100.0,dark,,15
will-o-wisp,85.0,fire,,15
facade,100.0,normal,70.0,20
focus-punch,100.0,fighting,150.0,20
taunt,100.0,dark,,20
trick,100.0,psychic,,10
role-play,,psychic,,10
brick-break,100.0,fighting,75.0,15
knock-off,100.0,dark,65.0,20
skill-swap,,psychic,,10
imprison,,psychic,,10
snatch,,dark,,10
secret-power,100.0,normal,70.0,20
natural-gift,100.0,normal,,15
payback,100.0,dark,50.0,10
embargo,100.0,dark,,15
fling,100.0,dark,,10
poison-jab,100.0,poison,80.0,20
dark-pulse,100.0,dark,80.0,15
drain-punch,100.0,fighting,75.0,10
focus-blast,70.0,fighting,120.0,5
energy-ball,100.0,grass,90.0,10
giga-impact,90.0,normal,150.0,5
nasty-plot,,dark,,20
shadow-claw,100.0,ghost,70.0,15
trick-room,,psychic,,5
captivate,100.0,normal,,20
ominous-wind,100.0,ghost,60.0,5
wonder-room,,psychic,,10
venoshock,100.0,poison,65.0,10
telekinesis,,psychic,,15
foul-play,100.0,dark,95.0,15
round,100.0,normal,60.0,15
ally-switch,,psychic,,15
hex,100.0,ghost,65.0,10
confide,,normal,,20
power-up-punch,100.0,fighting,40.0,20
laser-focus,,normal,,30
tera-blast,100.0,normal,80.0,10
