funcion,n,tiempo
sumar_lista,10,2.384185791015625e-06
sumar_tupla,10,7.152557373046875e-06
sumar_objeto,10,3.62396240234375e-05
sumar_usando_yield,10,4.291534423828125e-06
sumar_conjunto,10,5.7220458984375e-06
sumar_valores_diccionario,10,5.4836273193359375e-06
sumar_numpy_array,10,0.0002925395965576172
sumar_pandas_series,10,0.0004436969757080078
sumar_polars_series,10,0.0003075599670410156
sumar_lista,1000,7.295608520507812e-05
sumar_tupla,1000,8.225440979003906e-05
sumar_objeto,1000,0.0008223056793212891
sumar_usando_yield,1000,7.176399230957031e-05
sumar_conjunto,1000,4.267692565917969e-05
sumar_valores_diccionario,1000,9.274482727050781e-05
sumar_numpy_array,1000,6.532669067382812e-05
sumar_pandas_series,1000,0.00028443336486816406
sumar_polars_series,1000,9.775161743164062e-05
sumar_lista,10000,0.00046563148498535156
sumar_tupla,10000,0.0006136894226074219
sumar_objeto,10000,0.0057947635650634766
sumar_usando_yield,10000,0.0005528926849365234
sumar_conjunto,10000,0.0007359981536865234
sumar_valores_diccionario,10000,0.0007674694061279297
sumar_numpy_array,10000,8.20159912109375e-05
sumar_pandas_series,10000,0.00031757354736328125
sumar_polars_series,10000,0.0005733966827392578
sumar_lista,100000,0.005297660827636719
sumar_tupla,100000,0.006386756896972656
sumar_objeto,100000,0.12807965278625488
sumar_usando_yield,100000,0.0029230117797851562
sumar_conjunto,100000,0.005089759826660156
sumar_valores_diccionario,100000,0.007554531097412109
sumar_numpy_array,100000,0.00015473365783691406
sumar_pandas_series,100000,0.00028252601623535156
sumar_polars_series,100000,0.0025463104248046875
sumar_lista,1000000,0.03643155097961426
sumar_tupla,1000000,0.04653120040893555
sumar_objeto,1000000,0.9649331569671631
sumar_usando_yield,1000000,0.030701160430908203
sumar_conjunto,1000000,0.05913281440734863
sumar_valores_diccionario,1000000,0.08762407302856445
sumar_numpy_array,1000000,0.002591371536254883
sumar_pandas_series,1000000,0.0023088455200195312
sumar_polars_series,1000000,0.04402971267700195
sumar_lista,5000000,0.22859954833984375
sumar_tupla,5000000,0.25133728981018066
sumar_objeto,5000000,3.7166812419891357
sumar_usando_yield,5000000,0.14677047729492188
sumar_conjunto,5000000,0.2979855537414551
sumar_valores_diccionario,5000000,0.5199203491210938
sumar_numpy_array,5000000,0.010707378387451172
sumar_pandas_series,5000000,0.011513471603393555
sumar_polars_series,5000000,0.29982733726501465
sumar_lista,10,6.4373016357421875e-06
sumar_tupla,10,4.5299530029296875e-06
sumar_objeto,10,2.8133392333984375e-05
sumar_usando_yield,10,2.1457672119140625e-06
sumar_conjunto,10,3.0994415283203125e-06
sumar_valores_diccionario,10,3.337860107421875e-06
sumar_numpy_array,10,4.38690185546875e-05
sumar_pandas_series,10,0.00017595291137695312
sumar_polars_series,10,8.082389831542969e-05
sumar_lista,1000,3.3855438232421875e-05
sumar_tupla,1000,3.719329833984375e-05
sumar_objeto,1000,0.00028634071350097656
sumar_usando_yield,1000,2.9802322387695312e-05
sumar_conjunto,1000,2.09808349609375e-05
sumar_valores_diccionario,1000,4.363059997558594e-05
sumar_numpy_array,1000,2.7418136596679688e-05
sumar_pandas_series,1000,0.00011897087097167969
sumar_polars_series,1000,9.202957153320312e-05
sumar_lista,10000,0.00024509429931640625
sumar_tupla,10000,0.0003325939178466797
sumar_objeto,10000,0.0032584667205810547
sumar_usando_yield,10000,0.0003161430358886719
sumar_conjunto,10000,0.0002422332763671875
sumar_valores_diccionario,10000,0.0004513263702392578
sumar_numpy_array,10000,5.53131103515625e-05
sumar_pandas_series,10000,0.0001761913299560547
sumar_polars_series,10000,0.00036144256591796875
sumar_lista,100000,0.002358675003051758
sumar_tupla,100000,0.004403352737426758
sumar_objeto,100000,0.037780046463012695
sumar_usando_yield,100000,0.003287076950073242
sumar_conjunto,100000,0.0038480758666992188
sumar_valores_diccionario,100000,0.006348848342895508
sumar_numpy_array,100000,0.0001728534698486328
sumar_pandas_series,100000,0.0003287792205810547
sumar_polars_series,100000,0.0030846595764160156
sumar_lista,1000000,0.03963470458984375
sumar_tupla,1000000,0.04796457290649414
sumar_objeto,1000000,0.7980644702911377
sumar_usando_yield,1000000,0.03567910194396973
sumar_conjunto,1000000,0.06958484649658203
sumar_valores_diccionario,1000000,0.09329390525817871
sumar_numpy_array,1000000,0.0016510486602783203
sumar_pandas_series,1000000,0.0020165443420410156
sumar_polars_series,1000000,0.047037363052368164
sumar_lista,5000000,0.22342443466186523
sumar_tupla,5000000,0.2786116600036621
sumar_objeto,5000000,3.9817354679107666
sumar_usando_yield,5000000,0.16896271705627441
sumar_conjunto,5000000,0.2982323169708252
sumar_valores_diccionario,5000000,0.4198417663574219
sumar_numpy_array,5000000,0.006136894226074219
sumar_pandas_series,5000000,0.00619196891784668
sumar_polars_series,5000000,0.2502779960632324
sumar_lista,10,7.152557373046875e-06
sumar_tupla,10,4.5299530029296875e-06
sumar_objeto,10,2.7894973754882812e-05
sumar_usando_yield,10,2.384185791015625e-06
sumar_conjunto,10,3.5762786865234375e-06
sumar_valores_diccionario,10,3.337860107421875e-06
sumar_numpy_array,10,4.3392181396484375e-05
sumar_pandas_series,10,0.00016570091247558594
sumar_polars_series,10,9.512901306152344e-05
sumar_lista,1000,3.4809112548828125e-05
sumar_tupla,1000,3.6716461181640625e-05
sumar_objeto,1000,0.0003402233123779297
sumar_usando_yield,1000,5.245208740234375e-05
sumar_conjunto,1000,2.2649765014648438e-05
sumar_valores_diccionario,1000,4.7206878662109375e-05
sumar_numpy_array,1000,2.5510787963867188e-05
sumar_pandas_series,1000,0.00014019012451171875
sumar_polars_series,1000,0.00010061264038085938
sumar_lista,10000,0.0002651214599609375
sumar_tupla,10000,0.00039577484130859375
sumar_objeto,10000,0.002984762191772461
sumar_usando_yield,10000,0.00030040740966796875
sumar_conjunto,10000,0.0004019737243652344
sumar_valores_diccionario,10000,0.0007112026214599609
sumar_numpy_array,10000,9.250640869140625e-05
sumar_pandas_series,10000,0.0003063678741455078
sumar_polars_series,10000,0.0005419254302978516
sumar_lista,100000,0.0037479400634765625
sumar_tupla,100000,0.005446672439575195
sumar_objeto,100000,0.09032988548278809
sumar_usando_yield,100000,0.0030264854431152344
sumar_conjunto,100000,0.003545045852661133
sumar_valores_diccionario,100000,0.005830526351928711
sumar_numpy_array,100000,0.00016427040100097656
sumar_pandas_series,100000,0.00036525726318359375
sumar_polars_series,100000,0.004096269607543945
sumar_lista,1000000,0.04063129425048828
sumar_tupla,1000000,0.05464744567871094
sumar_objeto,1000000,1.017712116241455
sumar_usando_yield,1000000,0.028840065002441406
sumar_conjunto,1000000,0.05612993240356445
sumar_valores_diccionario,1000000,0.07834196090698242
sumar_numpy_array,1000000,0.0022242069244384766
sumar_pandas_series,1000000,0.0021317005157470703
sumar_polars_series,1000000,0.052703142166137695
sumar_lista,5000000,0.19579386711120605
sumar_tupla,5000000,0.27731823921203613
sumar_objeto,5000000,4.107255220413208
sumar_usando_yield,5000000,0.1734638214111328
sumar_conjunto,5000000,0.31602048873901367
sumar_valores_diccionario,5000000,0.4701569080352783
sumar_numpy_array,5000000,0.008655548095703125
sumar_pandas_series,5000000,0.007654666900634766
sumar_polars_series,5000000,0.2520906925201416
sumar_lista,10,1.8358230590820312e-05
sumar_tupla,10,5.245208740234375e-06
sumar_objeto,10,3.0994415283203125e-05
sumar_usando_yield,10,2.86102294921875e-06
sumar_conjunto,10,3.337860107421875e-06
sumar_valores_diccionario,10,3.814697265625e-06
sumar_numpy_array,10,4.863739013671875e-05
sumar_pandas_series,10,0.0001957416534423828
sumar_polars_series,10,8.988380432128906e-05
sumar_lista,1000,3.695487976074219e-05
sumar_tupla,1000,3.8623809814453125e-05
sumar_objeto,1000,0.00029277801513671875
sumar_usando_yield,1000,2.9325485229492188e-05
sumar_conjunto,1000,1.9311904907226562e-05
sumar_valores_diccionario,1000,4.076957702636719e-05
sumar_numpy_array,1000,2.3365020751953125e-05
sumar_pandas_series,1000,0.00013875961303710938
sumar_polars_series,1000,8.511543273925781e-05
