funcion,n,tiempo
sumar_lista,10,8.821487426757812e-06
sumar_tupla,10,1.4066696166992188e-05
sumar_objeto,10,7.700920104980469e-05
sumar_usando_yield,10,8.58306884765625e-06
sumar_conjunto,10,5.9604644775390625e-06
sumar_valores_diccionario,10,8.58306884765625e-06
sumar_numpy_array,10,0.0032668113708496094
sumar_pandas_series,10,0.002086162567138672
sumar_polars_series,10,0.0011038780212402344
sumar_lista,1000,5.459785461425781e-05
sumar_tupla,1000,7.700920104980469e-05
sumar_objeto,1000,0.000881195068359375
sumar_usando_yield,1000,7.319450378417969e-05
sumar_conjunto,1000,4.673004150390625e-05
sumar_valores_diccionario,1000,8.797645568847656e-05
sumar_numpy_array,1000,7.486343383789062e-05
sumar_pandas_series,1000,0.0003731250762939453
sumar_polars_series,1000,0.00013780593872070312
sumar_lista,10000,0.001966238021850586
sumar_tupla,10000,0.0009441375732421875
sumar_objeto,10000,0.009713411331176758
sumar_usando_yield,10000,0.0004055500030517578
sumar_conjunto,10000,0.0026695728302001953
sumar_valores_diccionario,10000,0.0016527175903320312
sumar_numpy_array,10000,9.5367431640625e-05
sumar_pandas_series,10000,0.00040149688720703125
sumar_polars_series,10000,0.0006134510040283203
sumar_lista,100000,0.006987571716308594
sumar_tupla,100000,0.013519525527954102
sumar_objeto,100000,0.1359412670135498
sumar_usando_yield,100000,0.004551887512207031
sumar_conjunto,100000,0.009647607803344727
sumar_valores_diccionario,100000,0.021181344985961914
sumar_numpy_array,100000,0.0002791881561279297
sumar_pandas_series,100000,0.0005273818969726562
sumar_polars_series,100000,0.00750422477722168
sumar_lista,1000000,0.06776618957519531
sumar_tupla,1000000,0.07883858680725098
sumar_objeto,1000000,1.255979061126709
sumar_usando_yield,1000000,0.0853424072265625
sumar_conjunto,1000000,0.12424778938293457
sumar_valores_diccionario,1000000,0.21749448776245117
sumar_numpy_array,1000000,0.0025873184204101562
sumar_pandas_series,1000000,0.008250236511230469
sumar_polars_series,1000000,0.09987831115722656
sumar_lista,5000000,0.4638020992279053
sumar_tupla,5000000,0.5676970481872559
sumar_objeto,5000000,5.735907793045044
sumar_usando_yield,5000000,0.3215343952178955
sumar_conjunto,5000000,0.6137027740478516
